AcctID,URL,Description,Likes,Comments
33068127961,CGnIugEFpZn,"@jbalvin ¡No deja de sorprendernos! Epic Games anuncia al embajador mundial del reggaetón como cabeza de cartel en el espectáculo especial de Fiesta magistral.Fortnite  Pesadilla antes de la Tempestad ya tiene a su superestrella. El evento de Halloween del battle royale de Epic Games contará con la presencia de J Balvin, ganador de cuatro premios GRAMMY Latinos y embajador mundial del reggaeton. Así lo ha anunciado la desarrolladora en la página oficial del videojuego, donde ha emplazado a los jugadores a pasarlo “en grande en la Fiesta de Ultratumba”. Durante este espectáculo especial de Fiesta Magistral, los asistentes podrán disfrutar de los grandes éxitos del artista y del estreno de su nueva canción con Sech.La fiesta arrancará en el escenario principal de la Fiesta magistral el próximo 1 de noviembre. Cuando la Fiesta de Ultratumba haya concluido, será el momento en el que comience la actuación de J Balvin. La nota informa además de que también será posible visualizar las retransmisiones junto con otros amigos gracias a la aplicación de videollamadas grupales Houseparty.Los que quieran ir a tono con la fiesta de los muertos pueden hacerse con la skin Soldado fiestero, una nueva versión marchosa “de un favorito de Fortnite  Pesadilla antes de la tempestad”. Lo podréis encontrar en la tienda, pero solo por tiempo limitado. Por si eso no fuera poco, todos los que adquieran este aspecto y que asistan a la Fiesta de Ultratumba desbloquearán automáticamente el estilo exclusivo de J Balvin......#noticias #noticiasmusicales #industriamusical #music #musica #musicnews #colombia #bogota #mexico #jbalvinfans #jbalvinmcdonalds #mcdonalds #jbalvinglobal #jbalvincolombia #jbalvin #latinogang #reaggeton #bigmac #talentocolombiano #talentolatino #orgulllocolombiano #fornite #forniteconcert #fornitebattleroyale #fornitelovers",13,0
28097439691,CGkV_eLhnFL,ASMR @mcdonaldsau @jbalvin meal. Collab with the amazing @songbyrdasmr 🙏🏻 .....#mcdonalds #jbalvin #jbalvinmeal #mcdonalds🍔🍟 #jbalvinmcdonalds #bigmac #oreomcflurry #mcflurry #mcflurryoreo #mcd #mcdonald #maccas #melbournefoodie #melbourne #bunasmr #asmr #asmreating #asmrfood #asmrsounds #asmrvideo #asmrcommunity #mukbang #mukbangeatingshow #mukbangasmr #mukbangers #mukbangfood #mukbangvideos #mcdonalds🍟,577,37
43972600567,CGjUxKHFVjL,Reason #8. #jbalvinmcdonalds #mcflurry,2,1
19666152,CGdtJQeBZqU,My own version of the J Balvin meal. @mcdonalds @jbalvin #McDonalds #JBalvin #JBalvinMeal #JBalvinMcDonalds 🍔🍟🥤,2,0
6199006429,CGbgLknpK0w,"J Balvin ""Familia""Colorway  BlackCondition  10/10 DSSize  S, M(2), LPrice  $15#jbalvin #jbalvinmcdonalds #share #explore #explorepage #like #likeforlikes #like4likes #likeforfollow #likeforlikeback #hype #hypebeast #supreme #bape",15,2
5403075384,CGbJLqDjbMb,"Jbalvin x McDonald’s tee Colores negro Tallas Xs,S,M,L,XLLa mejor calidad $399Aceptamos pago en efectivo💵 OXXO y con todas las tarjetas 💳Entregas personales y sobre pedido en cualquier estación del metro.🚉Envíos a toda la república ✈️📦🇲🇽NUEVO* sistema de apartado#trapshopmx  #trapmexico #hypebeast #streetwearfashion #trapshopmexicogold #supreme #yeezy #bape #abathingapethailand #offwhite #stussy #TSM #thrasher  #Champion #Jordan #Nike #Adidas #crep #kaws #offwhite  #boxlogo #sneakermx #cdmx #sneakerfevermx #supremegirls  #supremebae #mexico #jbalvin #mcdonalds #jbalvinmcdonalds",98,0
7206072070,CGaQlt5B3Yb,"¡Toda la mercancía de @mcdonalds x @jbalvin ya está disponible! ❤️💛⚡La colección tiene desde pantuflas, playeras, hoodies, plumas, lentes, relojes, alfombras, cobijas y más accesorios que ya están disponibles en su tienda oficial por un tiempo limitado. 🤩🇨🇴👏🏼🛍️  shop.jbalvinmerch.com📸  McDonald's#PuroMerca 🧡",739,29
32414887740,CGYcmh9BXIC,@jbalvin’s merch collab with @mcdonalds is out now! See what’s in the collection in our bio.#jbalvin #jbalvinmeal #jbalvinmcdonalds #mcdonalds,9,1
39271619078,CGW7hUBAJ1w,J Balvin Meal Limited Time Collab @mcdonalds 🍔🍟⚡️,5,1
4717213742,CGJT2GOACXk,J Balvin x McDonald’s coming soon 🍔🍟#Hypebeast 🔥🔥.#hype #jbalvin #travisscott #mcdonalds #jbalvinmcdonalds #travisscottburger  #travisscottmeal #travisscottmcdonalds #outfits #outfit #regaeton #latin #latinartist #mcdonalds🍟 #mcdonald #hypebeaststyle #hypebestkicks #style #fashionstyle #fashion #hypebeasts #collab  #supreme #offwhite #yeezy #yeezy350 #virgilabloh #streetstyle #streetwear,46,1
