AcctID,URL,Description,Likes,Comments
48208940782,CRG61m4H__U,J Balvin x McDonald's Meal Commercial jbalvin mcdonaldcommercial mcdonaldsmeal commercial jbalvinmeal  jbalvinmeal meal jbalvincommercial buger jbalvinmcdonalds,4,0
26078958026,CQ6aEIYrFnC,VENDIDABalvin x mcdonald'sTalla MPrecio 400 Condicion 10/10 jbalvin mcdonalds jbalvinmcdonalds bazarcdmx bazar,10,0
26078958026,CQUkkHMBXqn,VENDIDA J balvin x mcdonald'sPrecio  $400 o mejor oferta.En internet se han vendido mucho más caras. Condición  Nueva Talla  L jbalvin mcdonalds jbalvinmcdonalds bazar bazarcdmx,12,0
810910,CPlsJJBFWAt,These celebrity music artist-branded mcdonalds meals are getting out of hand.....mcdonalds btsmcdonalds btsmeal travisscottmeal jbalvinmcdonalds jbalvinmeal travisscottmcdonalds hoobastank thereason matisyahu kingwithoutacrown sclub7 sclubparty loubega mambonumber5,9,2
39041922196,CLe9al8Ad4J,jbalvin jbalvinmcdonalds offwhite offwhitejordan4 jumpman23 pinkhair doglovers candid candidphotography film filmphotography,10,1
25943524,CJjH9OEMSWJ,"Coming strong into 2021 with the jbalvin x jumpman23 Air Jordan 1 Collaboration!  Detailed shoe review just went up on my YouTube (LINK IN BIO!) so make sure to check it out and the other content I’m pumping out! JBalvin is a Colombian singer for those who are not familiar. Are you a fan of these, or are these just a little too much for your taste?",172,26
1914267506,CJB6_0Hpbnv,McDonald’s x Jbalvin “ Familia “ TeeCrew Member ExlcusiveSize - Large(SOLD) DM FOR INFOjbalvin mcdonalds jbalvintee jbalvinmcdonalds airjordan1 airjordan1jbalvin streetwear sneakercommunity sneakerheads sneakerhead sneakeraddict sneakerheat fnf crewmember sneakerreseller resellercommunity reseller resellerlife lifeofareseller miamireseller miami miamibeach,18,1
38257566590,CIEXKjIBibL,DORADO jbalvin reggaetonblog latinblog musicblog musicblogger musicreviews musicaurbana spotifylatam playlistcurator instagramblog reggaetonera reggaetonblog jbalvinmcdonalds mcdonalds afrobeatstotheworld dancehall dancehallvibes billboardlatin parati pati discoverunder200 discoverunder500 newlatinmusic dorado outfitgrids balvinista reggaeton newlatinwave musicnews jbalvin,12,4
265626732,CH_qqlgnzYp,"De las mejores colaboraciones del 2020 jbalvin y mcdonalds. Energía pura, una excelente manera de invitar a todos a vivir la experiencia de McDonald's.Además de dejar en alto a los latinos siempre trabajadores y alegres.¿Qué te pareció esta colaboración?",39,8
32522689022,CH5qo1yqpLI,"jbalvin mcdonalds - DoradoEntero en YouTube, link en la bio …",16,0
